PlayerID,Player,Age,Games,Minutes,FGM,FGA,FTM,FTA,ORB,TRB,AST,STL,BLK,PF,PTS,FGP,FTP,MPG,PPG,RPG,APG,WS25,RANDOM
anstech01,Chris Anstey,23,41,680,92,231,53,74,53,157,35,31,27,95,240,0.398,0.716,16.6,5.9,3.8,0.9,1.9,
battito01,Tony Battie,21,65,1506,234,525,73,104,138,351,60,54,69,199,544,0.446,0.702,23.2,8.4,5.4,0.9,6.2,
billuch01,Chauncey Billups,21,80,2216,280,749,226,266,62,190,314,107,4,172,893,0.374,0.85,27.7,11.2,2.4,3.9,7.6,
catoke01,Kelvin Cato,23,74,1007,98,229,86,125,91,252,23,29,94,164,282,0.428,0.688,13.6,3.8,3.4,0.3,4.2,
daniean01,Antonio Daniels,22,74,1956,228,548,112,170,22,143,334,55,10,88,579,0.416,0.659,26.4,7.8,1.9,4.5,6.6,
duncati01,Tim Duncan,21,82,3204,706,1287,319,482,274,977,224,55,206,254,1731,0.549,0.662,39.1,21.1,11.9,2.7,17.8,
fortsda01,Danny Fortson,21,80,1811,276,611,263,339,182,448,76,44,30,314,816,0.452,0.776,22.6,10.2,5.6,1,4.5,
foylead01,Adonal Foyle,22,55,656,69,170,27,62,73,184,14,13,52,94,165,0.406,0.435,11.9,3,3.3,0.3,0.7,
hendece02,Cedric Henderson,22,82,2527,348,725,136,190,71,325,168,96,45,238,832,0.48,0.716,30.8,10.1,4,2,-0.7,
jacksbo01,Bobby Jackson,24,68,2042,310,791,149,183,78,302,317,105,11,160,790,0.392,0.814,30,11.6,4.4,4.7,1.2,
johnsan02,Anthony Johnson,23,77,2266,226,609,80,110,51,171,329,64,6,188,574,0.371,0.727,29.4,7.5,2.2,4.3,0.3,
knighbr01,Brevin Knight,22,80,2483,261,592,201,251,67,253,656,196,18,271,723,0.441,0.801,31,9,3.2,8.2,1.6,
mcgratr01,Tracy McGrady,18,64,1179,179,398,79,111,105,269,98,49,61,86,451,0.45,0.712,18.4,7,4.2,1.5,12,
mercero01,Ron Mercer,21,80,2662,515,1145,188,224,109,280,176,125,17,213,1221,0.45,0.839,33.3,15.3,3.5,2.2,-1.1,
thomati01,Tim Thomas,20,77,1779,306,684,171,231,107,288,90,54,17,185,845,0.447,0.74,23.1,11,3.7,1.2,2.9,
vanhoke01,Keith Van Horn,22,62,2325,446,1047,258,305,142,408,106,64,25,216,1219,0.426,0.846,37.5,19.7,6.6,1.7,2.8,
willial02,Alvin Williams,23,54,1071,125,282,65,90,24,81,103,38,3,79,324,0.443,0.722,19.8,6,1.5,1.9,1,
abdursh01,Shareef Abdur-Rahim,20,80,2802,550,1214,387,519,216,555,175,79,79,199,1494,0.453,0.746,35,18.7,6.9,2.2,7.2,
allenra02,Ray Allen,21,82,2532,390,908,205,249,97,326,210,75,10,218,1102,0.43,0.823,30.9,13.4,4,2.6,13.7,
andersh01,Shandon Anderson,23,65,1066,147,318,68,99,52,179,49,27,8,113,386,0.462,0.687,16.4,5.9,2.8,0.8,2,
bryanko01,Kobe Bryant,18,71,1103,176,422,136,166,47,132,91,49,23,102,539,0.417,0.819,15.5,7.6,1.9,1.3,10.7,
cambyma01,Marcus Camby,22,63,1897,375,778,183,264,131,394,97,66,130,214,935,0.482,0.693,30.1,14.8,6.3,1.5,5.9,
dampier01,Erick Dampier,21,72,1052,131,336,107,168,96,294,43,19,73,153,370,0.39,0.637,14.6,5.1,4.1,0.6,-0.5,
delkto01,Tony Delk,23,61,867,119,256,42,51,31,99,99,36,6,71,332,0.465,0.824,14.2,5.4,1.6,1.6,0.4,
feickja01,Jamie Feick,22,41,624,56,157,34,67,82,214,26,16,14,78,151,0.357,0.507,15.2,3.7,5.2,0.6,4.8,
fishede01,Derek Fisher,22,80,921,104,262,79,120,25,97,119,41,5,87,309,0.397,0.658,11.5,3.9,1.2,1.5,3.1,
fulleto02,Todd Fuller,22,75,949,114,266,76,110,108,249,24,10,20,146,304,0.429,0.691,12.7,4.1,3.3,0.3,0.2,
harriot01,Othella Harrington,23,57,860,112,204,49,81,75,198,18,12,22,112,273,0.549,0.605,15.1,4.8,3.5,0.3,2.2,
iversal01,Allen Iverson,21,76,3045,625,1504,382,544,115,312,567,157,24,233,1787,0.416,0.702,40.1,23.5,4.1,7.5,11.8,
kittlke01,Kerry Kittles,22,82,3012,507,1189,175,227,106,319,249,157,35,165,1347,0.426,0.771,36.7,16.4,3.9,3,4.7,
knightr01,Travis Knight,22,71,1156,140,275,62,100,130,319,39,31,58,170,342,0.509,0.62,16.3,4.8,4.5,0.5,0.6,
marbust01,Stephon Marbury,19,67,2324,355,871,245,337,54,184,522,67,19,159,1057,0.408,0.727,34.7,15.8,2.7,7.8,9.6,
nashst01,Steve Nash,22,65,684,74,175,42,51,16,63,138,20,0,92,213,0.423,0.824,10.5,3.3,1,2.1,3,
potapvi01,Vitaly Potapenko,21,80,1238,186,423,92,125,105,217,40,26,34,216,465,0.44,0.736,15.5,5.8,2.7,0.5,3.4,
